Frame,Pixel Count
MOG,82944
MOG2,0
GMG,0
KNN,82944
CNT,82944
MOG,5540
MOG2,1106
GMG,0
KNN,82944
CNT,82944
MOG,2967
MOG2,1512
GMG,0
KNN,82926
CNT,82944
MOG,2804
MOG2,1040
GMG,0
KNN,82868
CNT,82944
MOG,2618
MOG2,1134
GMG,0
KNN,7560
CNT,82944
MOG,2814
MOG2,1538
GMG,0
KNN,6107
CNT,82944
MOG,2540
MOG2,1618
GMG,0
KNN,5684
CNT,82944
MOG,4643
MOG2,2081
GMG,0
KNN,6638
CNT,82944
MOG,2635
MOG2,2021
GMG,0
KNN,6571
CNT,82944
MOG,2652
MOG2,2266
GMG,0
KNN,6329
CNT,82944
MOG,3619
MOG2,2258
GMG,0
KNN,7218
CNT,82944
MOG,3712
MOG2,1804
GMG,0
KNN,7518
CNT,82944
MOG,5744
MOG2,2571
GMG,0
KNN,9059
CNT,82944
MOG,4713
MOG2,2529
GMG,0
KNN,8925
CNT,82944
MOG,3579
MOG2,2553
GMG,0
KNN,9199
CNT,82944
MOG,4397
MOG2,2837
GMG,0
KNN,9237
CNT,11485
MOG,4929
MOG2,2791
GMG,0
KNN,9254
CNT,11830
MOG,6438
MOG2,3194
GMG,0
KNN,9486
CNT,12131
MOG,6105
MOG2,3336
GMG,0
KNN,9302
CNT,12175
MOG,5818
MOG2,3066
GMG,0
KNN,8925
CNT,12147
MOG,6309
MOG2,2973
GMG,0
KNN,8529
CNT,12214
MOG,5554
MOG2,3136
GMG,0
KNN,9067
CNT,12176
MOG,6794
MOG2,3427
GMG,0
KNN,9582
CNT,12487
MOG,6496
MOG2,3392
GMG,0
KNN,9541
CNT,12360
MOG,6403
MOG2,3490
GMG,0
KNN,9588
CNT,12364
MOG,7083
MOG2,3464
GMG,0
KNN,9554
CNT,12343
MOG,6666
MOG2,3161
GMG,0
KNN,9480
CNT,12345
MOG,7038
MOG2,3433
GMG,0
KNN,9783
CNT,12506
MOG,6668
MOG2,3496
GMG,0
KNN,9556
CNT,12204
MOG,6459
MOG2,3439
GMG,0
KNN,9329
CNT,12068
MOG,6429
MOG2,3417
GMG,0
KNN,9172
CNT,11916
MOG,5636
MOG2,3505
GMG,0
KNN,9416
CNT,11716
MOG,6442
MOG2,3680
GMG,0
KNN,9618
CNT,11781
MOG,5959
MOG2,3504
GMG,0
KNN,9398
CNT,11424
MOG,6148
MOG2,3622
GMG,0
KNN,9342
CNT,11353
MOG,6418
MOG2,3666
GMG,0
KNN,9189
CNT,11341
MOG,6220
MOG2,3646
GMG,0
KNN,9005
CNT,11268
MOG,6812
MOG2,3900
GMG,0
KNN,9135
CNT,11287
MOG,6766
MOG2,3836
GMG,0
KNN,9015
CNT,11037
MOG,6529
MOG2,3806
GMG,0
KNN,8885
CNT,10974
MOG,6633
MOG2,3898
GMG,0
KNN,9186
CNT,10957
MOG,6510
MOG2,3763
GMG,0
KNN,9120
CNT,10749
MOG,7084
MOG2,3927
GMG,0
KNN,9253
CNT,10768
MOG,7048
MOG2,3972
GMG,0
KNN,9245
CNT,10527
MOG,7230
MOG2,3985
GMG,0
KNN,9246
CNT,10450
MOG,7329
MOG2,4021
GMG,0
KNN,9268
CNT,10421
MOG,7308
MOG2,4034
GMG,0
KNN,9271
CNT,10381
MOG,7909
MOG2,4206
GMG,0
KNN,9442
CNT,10370
MOG,7964
MOG2,4220
GMG,0
KNN,9432
CNT,10249
MOG,7950
MOG2,4216
GMG,0
KNN,9407
CNT,10193
MOG,8484
MOG2,4293
GMG,0
KNN,9470
CNT,10244
MOG,8389
MOG2,4250
GMG,0
KNN,9688
CNT,10200
MOG,8960
MOG2,4413
GMG,0
KNN,9998
CNT,10268
MOG,9005
MOG2,4447
GMG,0
KNN,10066
CNT,10183
MOG,9161
MOG2,4454
GMG,0
KNN,10151
CNT,10127
MOG,9309
MOG2,4443
GMG,0
KNN,10189
CNT,10106
MOG,9407
MOG2,4504
GMG,0
KNN,10290
CNT,10073
MOG,10110
MOG2,4728
GMG,0
KNN,10572
CNT,10146
MOG,9963
MOG2,4711
GMG,0
KNN,10552
CNT,10095
MOG,10058
MOG2,4807
GMG,0
KNN,10546
CNT,10146
MOG,10117
MOG2,4798
GMG,0
KNN,10500
CNT,10145
MOG,10045
MOG2,4777
GMG,0
KNN,10454
CNT,10096
MOG,10485
MOG2,4909
GMG,0
KNN,10666
CNT,10112
MOG,10444
MOG2,4841
GMG,0
KNN,10649
CNT,10060
MOG,10368
MOG2,4829
GMG,0
KNN,10757
CNT,10052
MOG,10446
MOG2,4840
GMG,0
KNN,10688
CNT,10028
